gender,group,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group E,high school,standard,none,71,68,60
male,group E,some high school,standard,none,68,51,48
male,group E,some high school,free/reduced,none,63,61,59
male,group E,associate's degree,standard,none,55,54,47
female,group E,some high school,standard,completed,64,80,77
female,group E,some high school,standard,none,60,61,58
female,group E,high school,standard,none,48,51,43
male,group E,bachelor's degree,free/reduced,none,68,68,59
female,group E,associate's degree,standard,none,78,72,71
female,group E,some high school,standard,completed,62,78,73
female,group E,some college,standard,completed,100,100,100
male,group E,high school,standard,none,100,82,80
male,group E,associate's degree,standard,none,90,76,73
female,group E,high school,standard,none,92,86,82
female,group E,high school,free/reduced,completed,74,96,95
male,group E,high school,standard,none,94,89,86
male,group E,some college,free/reduced,completed,75,65,66
male,group E,associate's degree,free/reduced,none,73,73,61
female,group E,high school,free/reduced,none,64,69,68
female,group E,some high school,standard,none,60,67,64
male,group E,associate's degree,free/reduced,none,48,49,44
male,group E,associate's degree,standard,completed,78,73,68
male,group E,some high school,standard,completed,81,87,85
male,group E,high school,standard,none,100,88,87
male,group E,some high school,free/reduced,none,63,61,59
female,group E,some high school,standard,completed,64,80,77
female,group E,some high school,standard,none,69,71,67
male,group E,some college,standard,completed,87,78,80
male,group E,high school,free/reduced,completed,58,56,49
female,group E,master's degree,standard,none,47,50,47
female,group E,some college,standard,none,78,83,78
female,group E,bachelor's degree,standard,none,78,89,93
male,group E,high school,free/reduced,none,56,48,36
male,group E,master's degree,free/reduced,completed,84,77,82
male,group E,high school,standard,none,49,43,35
male,group E,associate's degree,standard,none,90,76,73
female,group E,associate's degree,free/reduced,completed,41,56,53
male,group E,high school,free/reduced,none,70,73,69
male,group E,high school,free/reduced,completed,75,80,75
male,group E,bachelor's degree,standard,none,100,83,86
male,group E,associate's degree,standard,none,74,73,67
male,group E,some college,free/reduced,none,59,60,50
male,group E,some high school,free/reduced,none,46,38,32
male,group E,high school,standard,none,71,68,60
male,group E,some high school,standard,completed,69,67,62
female,group E,some college,free/reduced,none,49,61,63
female,group E,associate's degree,standard,none,72,77,77
female,group E,some high school,standard,none,60,61,58
female,group E,bachelor's degree,standard,none,87,89,84
female,group E,high school,standard,none,48,51,43
female,group E,some college,standard,none,79,76,71
female,group E,some high school,standard,completed,62,78,73
male,group E,bachelor's degree,free/reduced,none,63,56,56
female,group E,some high school,free/reduced,completed,38,46,43
male,group E,associate's degree,standard,completed,100,100,100
male,group E,associate's degree,standard,none,86,77,78
female,group E,some college,standard,completed,75,76,85
male,group E,associate's degree,free/reduced,none,48,49,44
male,group E,associate's degree,free/reduced,completed,92,79,77
male,group E,some high school,free/reduced,completed,49,50,45
female,group E,master's degree,free/reduced,none,84,100,99
male,group E,some college,free/reduced,none,78,84,77
male,group E,some high school,standard,none,68,51,48
female,group E,some high school,standard,none,58,63,59
male,group E,high school,standard,none,79,78,77
male,group E,some college,standard,none,55,54,54
male,group E,some college,standard,none,60,55,46
female,group E,associate's degree,free/reduced,none,92,87,87
female,group E,some college,standard,none,65,73,72
female,group E,bachelor's degree,free/reduced,none,56,58,52
male,group E,some high school,free/reduced,completed,75,70,61
female,group E,master's degree,free/reduced,none,83,81,83
male,group E,some college,free/reduced,none,81,79,71
female,group E,some college,standard,completed,100,100,100
male,group E,high school,standard,none,100,82,80
female,group E,master's degree,standard,none,59,57,58
male,group E,some college,free/reduced,none,90,87,81
female,group E,associate's degree,free/reduced,none,72,73,70
female,group E,high school,free/reduced,completed,70,84,83
male,group E,high school,free/reduced,completed,64,62,59
female,group E,bachelor's degree,standard,none,86,87,89
male,group E,high school,standard,completed,87,79,82
male,group E,some high school,free/reduced,none,84,78,79
female,group E,bachelor's degree,standard,none,84,95,89
female,group E,high school,standard,none,93,100,93
female,group E,high school,free/reduced,none,45,46,49
female,group E,some high school,free/reduced,none,58,64,64
male,group E,some college,free/reduced,completed,59,53,56
female,group E,some high school,standard,completed,70,78,76
male,group E,bachelor's degree,standard,none,86,71,71
female,group E,high school,standard,none,62,71,66
male,group E,some college,standard,none,78,65,60
male,group E,some high school,standard,none,86,76,63
male,group E,some college,free/reduced,completed,83,63,63
male,group E,master's degree,free/reduced,none,71,62,66
female,group E,high school,standard,none,60,62,60
male,group E,high school,free/reduced,completed,67,66,64
male,group E,high school,standard,none,75,68,66
male,group E,associate's degree,standard,none,100,91,86
female,group E,associate's degree,standard,completed,79,69,75
male,group E,some high school,standard,completed,97,80,88
female,group E,high school,free/reduced,none,64,69,68
female,group E,some high school,standard,none,60,67,64
male,group E,bachelor's degree,free/reduced,none,73,52,54
female,group E,associate's degree,standard,none,81,77,74
male,group E,some college,standard,completed,99,83,85
male,group E,associate's degree,standard,none,98,81,77
female,group E,associate's degree,standard,completed,95,100,100
female,group E,associate's degree,free/reduced,completed,77,75,82
male,group E,some high school,free/reduced,none,68,62,61
male,group E,associate's degree,standard,none,55,54,47
female,group E,some high school,standard,none,76,83,79
male,group E,associate's degree,standard,completed,100,100,100
male,group E,some high school,standard,none,87,84,80
male,group E,associate's degree,standard,completed,89,84,81
male,group E,bachelor's degree,free/reduced,none,68,68,59
male,group E,some college,free/reduced,none,71,64,66
female,group E,some high school,free/reduced,completed,45,56,55
female,group E,master's degree,free/reduced,completed,92,100,98
male,group E,associate's degree,free/reduced,none,58,53,54
male,group E,bachelor's degree,standard,none,87,87,84
female,group E,high school,standard,none,90,88,84
female,group E,high school,free/reduced,completed,74,96,95
male,group E,high school,standard,none,70,62,61
male,group E,associate's degree,free/reduced,completed,63,60,63
female,group E,high school,free/reduced,none,33,32,35
male,group E,some college,free/reduced,completed,75,65,66
male,group E,associate's degree,free/reduced,none,73,73,61
male,group E,some college,free/reduced,none,55,42,43
male,group E,bachelor's degree,free/reduced,none,80,70,71
male,group E,some college,standard,completed,93,88,84
male,group E,associate's degree,free/reduced,none,69,61,57
female,group E,some high school,standard,completed,65,76,78
male,group E,some college,standard,completed,100,84,87
female,group E,bachelor's degree,standard,completed,100,100,100
male,group E,high school,free/reduced,none,73,75,64
male,group E,high school,standard,none,75,70,64
male,group E,some college,free/reduced,none,79,65,59
female,group E,some high school,standard,none,83,87,83
female,group E,associate's degree,standard,none,78,72,71
female,group E,some college,free/reduced,none,82,88,86
male,group E,some college,free/reduced,none,66,57,53
male,group E,associate's degree,free/reduced,none,63,61,62
female,group E,high school,standard,none,92,86,82
male,group E,some college,free/reduced,completed,80,79,81
male,group E,high school,free/reduced,none,93,86,73
male,group E,associate's degree,standard,none,78,72,68
male,group E,bachelor's degree,standard,completed,90,88,84
male,group E,some college,standard,completed,100,84,88
male,group E,high school,standard,none,94,89,86
female,group E,high school,free/reduced,completed,66,78,77
male,group E,high school,free/reduced,completed,86,82,75
